Day,Campaign Name,Ad Set Name,Ad Name,Reach,Impressions,Frequency,Amount Spent,Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Messaging Conversations Started,Cost per Messaging Conversations Started
2025-06-03,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,5273,5573,1.06,133.45,28,4.77,0.5,4,33.36
2025-06-03,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,1081,1163,1.08,21.28,9,2.36,0.77,1,21.28
2025-06-03,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5624,6013,1.07,152.65,28,5.45,0.47,5,30.53
2025-06-04,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,2643,2801,1.06,54.76,30,1.83,1.07,14,3.91
2025-06-04,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,7610,8767,1.15,119.2,83,1.44,0.95,36,3.31
2025-06-04,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8508,9785,1.15,173.89,77,2.26,0.79,26,6.69
2025-06-05,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,730,827,1.13,14.03,13,1.08,1.57,3,4.68
2025-06-05,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,10640,12062,1.13,119.59,102,1.17,0.85,40,2.99
2025-06-05,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8177,9527,1.17,135.71,77,1.76,0.81,22,6.17
2025-06-05,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,3321,3709,1.12,105.91,28,3.78,0.75,8,13.24
2025-06-06,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1357,1445,1.06,16.16,15,1.08,1.04,7,2.31
2025-06-06,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,11943,13398,1.12,112.15,87,1.29,0.65,33,3.4
2025-06-06,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8633,10040,1.16,130.17,66,1.97,0.66,26,5.01
2025-06-06,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,1275,1603,1.26,70.73,17,4.16,1.06,5,14.15
2025-06-07,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,982,1116,1.14,15.6,8,1.95,0.72,2,7.8
2025-06-07,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,7025,8062,1.15,93.76,69,1.36,0.86,27,3.47
2025-06-07,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,7488,8545,1.14,107.58,44,2.44,0.51,13,8.28
2025-06-07,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,1195,1701,1.42,81.96,21,3.9,1.23,5,16.39
2025-06-08,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,986,1147,1.16,15.48,11,1.41,0.96,2,7.74
2025-06-08,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,7991,9226,1.15,103.48,70,1.48,0.76,22,4.7
2025-06-08,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8386,9717,1.16,115.28,54,2.13,0.56,19,6.07
2025-06-08,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,2454,3399,1.39,122.09,26,4.7,0.76,7,17.44
2025-06-09,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1198,1350,1.13,17.28,15,1.15,1.11,8,2.16
2025-06-09,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,6608,7641,1.16,85.72,65,1.32,0.85,25,3.43
2025-06-09,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,7197,8488,1.18,109.38,72,1.52,0.85,29,3.77
2025-06-09,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,2184,3019,1.38,109.92,19,5.79,0.63,6,18.32
2025-06-10,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,914,1015,1.11,12.61,14,0.9,1.38,4,3.15
2025-06-10,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,6771,7803,1.15,87.15,85,1.03,1.09,40,2.18
2025-06-10,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5888,6866,1.17,95.89,63,1.52,0.92,28,3.42
2025-06-10,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,1472,2100,1.43,96.83,25,3.87,1.19,4,24.21
2025-06-11,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,33,34,1.03,0.48,,,,,
2025-06-11,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,8871,10405,1.17,94.35,73,1.29,0.7,29,3.25
2025-06-11,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5842,6776,1.16,93.8,49,1.91,0.72,23,4.08
2025-06-11,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,1545,2228,1.44,86.53,17,5.09,0.76,4,21.63
2025-06-11,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,601,682,1.13,18.27,3,6.09,0.44,1,18.27
2025-06-11,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,995,1252,1.26,34.11,16,2.13,1.28,4,8.53
2025-06-11,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,9,9,1,0.92,,,,,
2025-06-11,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,861,1082,1.26,25.82,11,2.35,1.02,3,8.61
2025-06-11,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,18,20,1.11,0.35,,,,,
2025-06-11,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img6_Copy1,15,16,1.07,0.45,,,,,
2025-06-12,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,1081,1236,1.14,15.28,15,1.02,1.21,5,3.06
2025-06-12,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,6539,7728,1.18,86.24,81,1.06,1.05,28,3.08
2025-06-12,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5952,7118,1.2,97.73,53,1.84,0.74,21,4.65
2025-06-12,NS_MesPadre_Junio2025-T01,01_Toluca_Abierto,Img1_Copy1,290,342,1.18,17.41,1,17.41,0.29,1,17.41
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,138,174,1.26,9.13,1,9.13,0.57,1,9.13
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,1277,1762,1.38,74.73,16,4.67,0.91,3,24.91
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,8,12,1.5,1.12,4,0.28,33.33,1,1.12
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,254,322,1.27,10.73,4,2.68,1.24,,
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,22,28,1.27,1.4,,,,,
2025-06-12,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img6_Copy1,5,5,1,0.07,,,,,
2025-06-13,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,5993,7145,1.19,92.76,53,1.75,0.74,19,4.88
2025-06-13,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5915,6712,1.13,97.71,47,2.08,0.7,18,5.43
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,783,1028,1.31,42.07,11,3.82,1.07,5,8.41
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,553,694,1.25,33.13,11,3.01,1.59,5,6.63
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,40,49,1.23,2.58,,,,1,2.58
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,281,380,1.35,20.35,5,4.07,1.32,5,4.07
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,22,27,1.23,1.79,1,1.79,3.7,,
2025-06-13,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img6_Copy1,2,2,1,0.01,,,,,
2025-06-14,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,391,424,1.08,5.96,,,,,
2025-06-14,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,5889,6822,1.16,82.77,53,1.56,0.78,20,4.14
2025-06-14,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,5763,6446,1.12,89.56,45,1.99,0.7,20,4.48
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,1238,1598,1.29,56.73,10,5.67,0.63,6,9.46
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,341,394,1.16,19.89,5,3.98,1.27,3,6.63
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,25,27,1.08,2.38,1,2.38,3.7,,
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,165,214,1.3,10.28,5,2.06,2.34,1,10.28
2025-06-14,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,3,4,1.33,0.16,,,,,
2025-06-15,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,16,16,1,0.25,,,,,
2025-06-15,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,9563,11111,1.16,111.57,77,1.45,0.69,29,3.85
2025-06-15,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,6700,7965,1.19,111.94,51,2.19,0.64,16,7
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,2093,2708,1.29,86.83,21,4.13,0.78,4,21.71
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,499,593,1.19,21.33,6,3.56,1.01,,
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img4_Copy1,5,5,1,0.22,,,,,
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img3_Copy1,302,378,1.25,10.66,2,5.33,0.53,1,10.66
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img5_Copy1,1,1,1,0.01,,,,,
2025-06-15,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img6_Copy1,2,2,1,0.01,,,,,
2025-06-16,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Continental 4x3,488,548,1.12,9.05,2,4.53,0.36,1,9.05
2025-06-16,🏆 (Abril 2025) Llantas 4X3 - T01,01_Toluca_Abierto,🏆 (Abril) Tornel 4x3,8580,10249,1.19,101.91,78,1.31,0.76,37,2.75
2025-06-16,🏆 (Abril 2025) Amortiguadores - T01,01_Toluca_Abierto,🏆 (Abril) Amortiguadores,8098,9408,1.16,112.42,63,1.78,0.67,24,4.68
2025-06-16,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img1_Copy1,2038,2641,1.3,94.9,30,3.16,1.14,12,7.91
2025-06-16,NS_MesPadre_Junio2025-T02,01_Toluca_Abierto,Img2_Copy1,123,141,1.15,4.9,1,4.9,0.71,1,4.9
